	time (ns)	angle (degree)	average angle	angle standard deviation
0	500.000	10.064		
1	501.000	13.678		
2	502.000	15.244		
3	503.000	12.267		
4	504.000	11.556		
5	505.000	11.444		
6	506.000	13.302		
7	507.000	11.508		
8	508.000	14.784		
9	509.000	13.098		
10	510.000	14.016		
11	511.000	13.156		
12	512.000	14.113	12.065	1.903
13	513.000	13.699	12.267	1.949
14	514.000	11.570	12.351	2.054
15	515.000	7.933	12.252	1.967
16	516.000	10.645	12.232	1.969
17	517.000	8.542	12.281	1.967
18	518.000	9.203	12.282	1.967
19	519.000	10.491	12.197	1.966
20	520.000	11.076	12.085	2.083
21	521.000	12.263	11.819	2.148
22	522.000	11.646	11.623	2.249
23	523.000	13.965	11.445	2.227
24	524.000	12.361	11.294	2.234
25	525.000	15.114	11.050	2.246
26	526.000	15.777	10.972	2.183
27	527.000	12.764	10.936	2.180
28	528.000	11.782	11.043	2.091
29	529.000	12.778	10.961	2.147
30	530.000	11.452	10.927	2.193
31	531.000	11.196	10.945	2.180
32	532.000	8.709	10.896	2.204
33	533.000	8.135	11.013	2.289
34	534.000	8.181	11.051	2.318
35	535.000	9.569	11.086	2.334
36	536.000	9.378	11.068	2.312
37	537.000	8.023	11.068	2.312
38	538.000	11.747	10.910	2.154
39	539.000	10.659	10.789	1.944
40	540.000	10.630	10.717	1.901
41	541.000	8.576	10.729	1.908
42	542.000	7.705	10.714	1.893
43	543.000	9.641	10.809	1.989
44	544.000	9.283	10.903	2.063
45	545.000	13.990	10.992	2.011
46	546.000	13.212	11.235	2.018
47	547.000	12.530	11.472	1.992
48	548.000	13.494	11.523	1.957
49	549.000	12.383	11.669	1.926
50	550.000	11.154	11.729	1.829
51	551.000	12.756	11.646	1.874
52	552.000	10.968	11.687	1.862
53	553.000	12.064	11.756	1.854
54	554.000	12.417	11.933	1.746
55	555.000	13.828	12.229	1.622
56	556.000	13.550	12.502	1.737
57	557.000	10.933	12.786	1.770
58	558.000	14.192	12.866	1.869
59	559.000	14.110	12.910	1.890
60	560.000	10.851	13.086	2.051
61	561.000	13.015	13.198	2.149
62	562.000	9.523	13.347	2.218
63	563.000	9.686	13.418	2.172
64	564.000	11.671	13.303	2.283
65	565.000	12.359	13.249	2.355
66	566.000	13.019	13.234	2.364
67	567.000	15.102	13.377	2.420
68	568.000	16.448	13.382	2.422
69	569.000	16.400	13.246	2.506
70	570.000	15.993	13.228	2.525
71	571.000	14.300	12.975	2.732
72	572.000	16.932	12.799	2.796
73	573.000	16.295	12.791	2.802
74	574.000	16.097	12.715	2.822
75	575.000	12.944	12.756	2.781
76	576.000	9.863	12.789	2.747
77	577.000	9.623	12.652	2.888
78	578.000	11.693	12.564	2.930
79	579.000	15.998	12.356	3.077
80	580.000	13.952	12.067	3.147
81	581.000	10.140	11.790	3.048
82	582.000	10.483	11.518	2.921
83	583.000	7.875	11.208	2.836
84	584.000	9.721	10.993	2.795
85	585.000	10.653	10.675	2.531
86	586.000	11.094	10.418	2.247
87	587.000	10.549	10.150	1.917
88	588.000	10.525	10.049	1.828
89	589.000	8.240	10.103	1.843
90	590.000	10.159	10.139	1.841
91	591.000	7.825	10.050	1.817
92	592.000	7.885	9.767	1.340
93	593.000	9.523	9.491	1.137
94	594.000	9.589	9.362	1.239
95	595.000	8.250	9.198	1.350
96	596.000	8.911	9.165	1.393
97	597.000	8.979	9.187	1.407
98	598.000	9.883	9.120	1.374
99	599.000	9.387	8.997	1.327
100	600.000	10.417	9.001	1.333
101	601.000	11.235	8.912	1.301
102	602.000	10.502	8.907	1.304
103	603.000	9.479	8.638	1.673
104	604.000	8.915	8.580	1.727
105	605.000	7.063	8.535	1.760
106	606.000	6.909	8.352	1.886
107	607.000	6.393	8.354	1.888
108	608.000	7.042	8.449	1.942
109	609.000	10.278	8.476	1.953
110	610.000	8.971	8.484	1.955
111	611.000	8.005	8.387	1.943
112	612.000	10.663	8.221	2.029
113	613.000	8.296	7.992	2.093
114	614.000	8.108	7.707	2.120
115	615.000	3.453	7.504	2.082
116	616.000	6.368	7.363	2.063
117	617.000	6.765	7.175	2.129
118	618.000	4.948	6.931	2.464
119	619.000	9.630	6.730	2.663
120	620.000	10.637	6.541	2.849
121	621.000	9.584	6.370	2.945
122	622.000	9.163	6.152	2.844
123	623.000	7.475	5.962	2.806
124	624.000	5.234	5.917	2.780
125	625.000	4.693	5.792	2.624
126	626.000	4.093	5.804	2.637
127	627.000	5.448	5.825	2.658
128	628.000	5.936	6.132	2.812
129	629.000	4.216	6.290	2.934
130	630.000	0.977	6.404	3.007
131	631.000	1.876	6.627	3.101
132	632.000	1.673	6.640	3.113
133	633.000	2.752	6.623	3.093
134	634.000	4.831	6.566	3.048
135	635.000	4.225	6.600	3.083
136	636.000	6.884	6.627	3.094
137	637.000	7.534	6.756	3.101
138	638.000	8.599	6.792	3.081
139	639.000	8.634	6.948	3.037
140	640.000	11.134	6.982	3.025
141	641.000	10.319	7.134	3.065
142	642.000	9.597	7.349	3.040
143	643.000	10.542	7.718	2.784
144	644.000	9.933	8.056	2.547
145	645.000	10.232	8.361	2.182
146	646.000	8.151	8.710	1.931
147	647.000	10.017	8.904	1.760
148	648.000	8.133	9.053	1.483
149	649.000	8.480	9.043	1.499
150	650.000	5.593	8.965	1.627
151	651.000	7.995	8.963	1.628
152	652.000	6.292	9.002	1.631
153	653.000	9.728	8.913	1.570
154	654.000	9.594	8.849	1.542
155	655.000	10.207	8.895	1.582
156	656.000	10.311	8.927	1.624
157	657.000	9.314	8.966	1.661
158	658.000	11.479	8.948	1.649
159	659.000	9.662	8.982	1.641
160	660.000	7.962	8.813	1.743
161	661.000	6.633	8.705	1.868
