	time (ns)	angle (degree)	average angle	angle standard deviation
0	500.000	9.982		
1	501.000	13.240		
2	502.000	8.711		
3	503.000	10.070		
4	504.000	8.577		
5	505.000	11.051		
6	506.000	10.566		
7	507.000	12.625		
8	508.000	11.756		
9	509.000	13.351		
10	510.000	8.693		
11	511.000	13.592		
12	512.000	12.004	10.004	2.184
13	513.000	10.581	10.059	2.201
14	514.000	6.933	9.924	2.099
15	515.000	8.790	9.827	2.211
16	516.000	7.877	9.740	2.243
17	517.000	7.471	9.647	2.340
18	518.000	5.889	9.395	2.515
19	519.000	9.122	9.235	2.564
20	520.000	9.490	8.987	2.522
21	521.000	6.968	8.663	2.668
22	522.000	8.849	8.313	2.601
23	523.000	11.306	8.072	2.833
24	524.000	12.607	7.764	2.619
25	525.000	11.361	7.405	2.627
26	526.000	9.853	7.240	2.548
27	527.000	6.283	7.128	2.622
28	528.000	7.916	6.949	2.657
29	529.000	6.240	6.724	2.809
30	530.000	4.744	6.485	2.991
31	531.000	6.568	6.353	3.089
32	532.000	6.442	6.157	3.061
33	533.000	3.650	5.864	3.080
34	534.000	4.594	5.712	3.116
35	535.000	2.661	5.503	3.072
36	536.000	5.890	5.153	2.876
37	537.000	3.048	4.830	2.421
38	538.000	6.446	4.579	2.005
39	539.000	4.127	4.405	1.693
40	540.000	4.320	4.408	1.697
41	541.000	2.248	4.389	1.658
42	542.000	1.501	4.351	1.624
43	543.000	2.597	4.399	1.654
44	544.000	4.219	4.398	1.653
45	545.000	2.160	4.380	1.632
46	546.000	3.173	4.441	1.632
47	547.000	3.631	4.608	1.849
48	548.000	2.546	4.694	1.804
49	549.000	4.522	4.683	1.797
50	550.000	5.091	4.736	1.766
51	551.000	5.508	4.614	1.749
52	552.000	6.363	4.562	1.783
53	553.000	7.438	4.556	1.784
54	554.000	5.286	4.684	1.725
55	555.000	5.950	4.870	1.615
56	556.000	6.549	4.969	1.544
57	557.000	5.976	5.021	1.539
58	558.000	5.174	5.039	1.505
59	559.000	8.781	5.012	1.547
60	560.000	4.800	4.922	1.689
61	561.000	5.629	4.846	1.837
62	562.000	4.368	4.694	2.013
63	563.000	3.388	4.562	2.092
64	564.000	2.823	4.444	2.120
65	565.000	4.178	4.321	2.093
66	566.000	5.452	4.183	1.990
67	567.000	6.137	4.062	2.012
68	568.000	5.085	3.947	1.982
69	569.000	5.507	3.776	1.931
70	570.000	2.632	3.622	1.902
71	571.000	2.482	3.466	1.929
72	572.000	1.386	3.313	1.616
73	573.000	0.637	3.289	1.597
74	574.000	0.738	3.204	1.522
75	575.000	1.787	3.164	1.503
76	576.000	2.545	3.251	1.578
77	577.000	3.297	3.315	1.592
78	578.000	3.988	3.329	1.602
79	579.000	2.272	3.333	1.608
80	580.000	3.071	3.222	1.499
81	581.000	2.279	3.331	1.721
82	582.000	2.111	3.384	1.809
83	583.000	1.286	3.572	1.965
84	584.000	4.946	3.792	2.139
85	585.000	4.205	3.998	2.145
86	586.000	3.495	4.282	2.152
87	587.000	3.364	4.698	2.427
88	588.000	5.563	4.958	2.451
89	589.000	4.427	5.093	2.404
90	590.000	4.539	5.187	2.377
91	591.000	5.560	5.321	2.401
92	592.000	3.354	5.458	2.316
93	593.000	7.796	5.541	2.263
94	594.000	6.838	5.729	2.174
95	595.000	7.327	5.874	2.039
96	596.000	7.994	5.938	1.910
97	597.000	6.523	5.798	2.106
98	598.000	7.738	5.763	2.140
99	599.000	11.150	5.860	2.087
100	600.000	8.291	6.095	2.123
