	time (ns)	angle (degree)	average angle	angle standard deviation
0	0.000	0.028		
1	1.000	3.436		
2	2.000	3.455		
3	3.000	2.558		
4	4.000	3.796		
5	5.000	3.136		
6	6.000	1.866		
7	7.000	0.441		
8	8.000	0.758		
9	9.000	1.034		
10	10.000	2.377		
11	11.000	5.339		
12	12.000	6.174	3.631	2.149
13	13.000	5.745	3.907	2.110
14	14.000	4.401	4.030	2.170
15	15.000	5.900	4.188	2.268
16	16.000	6.674	4.313	2.260
17	17.000	5.101	4.418	2.296
18	18.000	2.390	4.477	2.281
19	19.000	5.676	4.579	2.215
20	20.000	2.207	4.788	2.049
21	21.000	0.628	4.944	1.870
22	22.000	4.384	5.199	1.745
23	23.000	6.451	5.414	1.715
24	24.000	6.821	5.403	1.716
25	25.000	6.931	5.316	1.731
26	26.000	6.513	5.254	1.743
27	27.000	7.405	5.301	1.734
28	28.000	5.686	5.367	1.789
29	29.000	6.422	5.341	1.774
30	30.000	4.607	5.362	1.774
31	31.000	4.398	5.491	1.663
32	32.000	5.670	5.526	1.676
33	33.000	4.661	5.709	1.542
34	34.000	7.410	5.900	1.126
35	35.000	7.765	6.003	1.100
36	36.000	5.067	5.981	1.096
37	37.000	3.978	5.972	1.090
38	38.000	4.195	6.003	1.129
39	39.000	5.577	6.043	1.165
40	40.000	7.551	6.052	1.176
41	41.000	6.021	6.105	1.189
42	42.000	5.643	6.174	1.256
43	43.000	5.613	6.171	1.260
44	44.000	6.555	6.286	1.221
45	45.000	6.762	6.460	1.424
46	46.000	5.408	6.479	1.402
47	47.000	6.970	6.462	1.393
48	48.000	5.891	6.479	1.413
49	49.000	6.598	6.548	1.383
50	50.000	7.711	6.781	1.422
51	51.000	7.512	7.090	1.658
52	52.000	7.626	7.294	1.774
53	53.000	7.023	7.292	1.774
54	54.000	8.136	7.430	1.805
55	55.000	4.539	7.586	1.813
56	56.000	7.263	7.734	1.796
57	57.000	10.030	7.780	1.779
58	58.000	5.125	7.796	1.771
59	59.000	6.987	7.872	1.704
60	60.000	8.201	7.851	1.719
61	61.000	6.771	7.951	1.672
62	62.000	9.807	8.020	1.649
63	63.000	11.931	8.099	1.680
64	64.000	10.676	8.250	1.792
65	65.000	7.494	8.350	1.826
66	66.000	9.486	8.484	1.846
67	67.000	9.537	8.595	1.907
68	68.000	9.320	8.856	1.771
69	69.000	7.688	8.972	1.757
70	70.000	7.166	8.950	1.747
71	71.000	7.324	9.248	1.702
72	72.000	6.439	9.401	1.662
73	73.000	8.377	9.535	1.696
74	74.000	8.340	9.609	1.609
75	75.000	9.665	9.554	1.625
76	76.000	11.299	9.447	1.548
77	77.000	10.132	9.506	1.624
78	78.000	10.360	9.633	1.584
79	79.000	10.912	9.588	1.603
80	80.000	11.074	9.574	1.605
81	81.000	10.157	9.460	1.722
82	82.000	9.480	9.369	1.872
83	83.000	12.579	9.365	1.877
84	84.000	10.804	9.332	1.922
85	85.000	11.562	9.237	2.119
86	86.000	8.603	9.101	2.280
87	87.000	8.455	8.964	2.425
88	88.000	9.234	8.809	2.502
89	89.000	12.164	8.465	2.724
90	90.000	10.657	8.269	2.776
91	91.000	8.370	8.069	2.798
92	92.000	9.192	7.798	2.840
93	93.000	6.462	7.560	2.803
94	94.000	5.424	7.377	2.776
95	95.000	7.067	7.233	2.756
96	96.000	6.482	6.978	2.526
97	97.000	4.064	6.834	2.398
98	98.000	4.978	6.633	2.186
99	99.000	4.921	6.497	2.164
100	100.000	5.783	6.518	2.186
101	101.000	2.718	6.541	2.218
102	102.000	5.222	6.489	2.093
103	103.000	5.371	6.515	2.151
104	104.000	4.125	6.679	2.435
105	105.000	5.115	6.819	2.674
106	106.000	5.590	7.036	2.859
107	107.000	5.876	7.375	3.146
108	108.000	6.208	7.671	3.451
109	109.000	7.202	8.009	3.732
110	110.000	6.556	8.327	3.720
111	111.000	5.200	8.621	3.734
112	112.000	8.969	8.929	3.734
113	113.000	9.807	9.152	3.705
114	114.000	10.862	9.476	3.465
115	115.000	11.319	9.685	3.353
116	116.000	12.466	9.848	3.232
117	117.000	12.684	10.132	3.012
118	118.000	11.901	10.345	2.825
119	119.000	13.882	10.516	2.649
120	120.000	14.483	10.618	2.508
121	121.000	14.936	10.760	2.343
122	122.000	12.001	10.899	2.223
123	123.000	12.326	11.088	2.031
124	124.000	12.622	11.335	1.619
125	125.000	11.348	11.432	1.542
126	126.000	10.833	11.505	1.505
127	127.000	10.430	11.513	1.501
128	128.000	9.468	11.526	1.501
129	129.000	11.210	11.508	1.492
130	130.000	10.453	11.628	1.698
131	131.000	9.846	11.803	1.935
132	132.000	8.444	11.753	1.895
133	133.000	9.753	11.684	1.821
134	134.000	10.680	11.550	1.691
135	135.000	11.268	11.554	1.692
136	136.000	11.369	11.650	1.802
137	137.000	11.405	11.705	1.853
138	138.000	11.645	11.888	2.033
139	139.000	11.062	12.135	2.261
140	140.000	11.623	12.399	2.433
141	141.000	12.021	12.848	2.868
142	142.000	15.691	13.194	3.168
143	143.000	16.271	13.559	3.359
144	144.000	12.639	13.792	3.292
145	145.000	12.747	14.122	3.143
146	146.000	11.600	14.466	3.116
147	147.000	12.104	14.800	3.140
148	148.000	14.728	15.105	3.154
149	149.000	13.986	15.265	3.056
